15 15
880 101
80 101
0 0 barrier
960 0 barrier
20 0 barrier
940 0 barrier
40 0 barrier
920 0 barrier
60 0 barrier
900 0 barrier
80 0 barrier
880 0 barrier
100 0 barrier
860 0 barrier
120 0 barrier
840 0 barrier
140 0 barrier
820 0 barrier
160 0 barrier
800 0 barrier
180 0 barrier
780 0 barrier
200 0 barrier
760 0 barrier
220 0 barrier
740 0 barrier
240 0 barrier
720 0 barrier
260 0 barrier
700 0 barrier
280 0 barrier
680 0 barrier
300 0 barrier
660 0 barrier
320 0 barrier
640 0 barrier
340 0 barrier
620 0 barrier
360 0 barrier
600 0 barrier
380 0 barrier
580 0 barrier
0 0 barrier
960 0 barrier
0 20 barrier
960 20 barrier
0 40 barrier
960 40 barrier
0 60 barrier
960 60 barrier
0 80 barrier
960 80 barrier
0 100 barrier
960 100 barrier
0 120 barrier
960 120 barrier
0 140 barrier
960 140 barrier
0 160 barrier
960 160 barrier
0 180 barrier
960 180 barrier
0 200 barrier
960 200 barrier
0 220 barrier
960 220 barrier
0 240 barrier
960 240 barrier
0 260 barrier
960 260 barrier
0 280 barrier
960 280 barrier
0 300 barrier
960 300 barrier
0 320 barrier
960 320 barrier
0 340 barrier
960 340 barrier
0 360 barrier
960 360 barrier
0 380 barrier
960 380 barrier
0 400 barrier
960 400 barrier
0 420 barrier
960 420 barrier
0 440 barrier
960 440 barrier
0 460 barrier
960 460 barrier
0 480 barrier
960 480 barrier
0 500 barrier
960 500 barrier
240 120 metal
720 120 metal
240 140 metal
720 140 metal
240 160 metal
720 160 metal
240 180 metal
720 180 metal
240 200 cannon
720 200 reversecannon
240 220 metal
720 220 metal
240 240 metal
720 240 metal
240 260 metal
720 260 metal
240 280 cannon
720 280 reversecannon
240 300 metal
720 300 metal
240 320 metal
720 320 metal
240 340 metal
720 340 metal
240 360 cannon
720 360 reversecannon
240 380 metal
720 380 metal
240 400 metal
720 400 metal
240 420 metal
720 420 metal
120 140 metal
840 140 metal
140 160 metal
820 160 metal
20 120 metal
940 120 metal
40 120 metal
920 120 metal
60 120 metal
900 120 metal
80 120 metal
880 120 metal
100 120 metal
860 120 metal
180 120 metal
780 120 metal
200 120 metal
760 120 metal
220 120 metal
740 120 metal
240 120 metal
720 120 metal
140 220 metal
820 220 metal
160 220 metal
800 220 metal
180 220 metal
780 220 metal
200 220 metal
760 220 metal
220 220 metal
740 220 metal
20 220 metal
940 220 metal
40 240 metal
920 240 metal
60 260 metal
900 260 metal
80 280 metal
880 280 metal
100 300 metal
860 300 metal
120 320 metal
840 320 metal
200 300 metal
760 300 metal
220 300 metal
740 300 metal
20 320 metal
940 320 metal
40 340 metal
920 340 metal
60 360 metal
900 360 metal
80 380 metal
880 380 metal
100 400 metal
860 400 metal
120 420 metal
840 420 metal
140 440 metal
820 440 metal
160 460 metal
800 460 metal
180 380 metal
780 380 metal
200 380 metal
760 380 metal
220 380 metal
740 380 metal
